,Unnamed: 0,TEAM,GP,PPG,FGM-game,FGA-game,FGM-total,FGA-total,FG%,2PM,2PA,2P%,PPS,FG%.adj,team,games_played,assist,assist_per_game,turnover,turnover_per_game,assist/to
163,163,purdue,32,76.2,26.8,60.0,857,1920,0.446,546,1066,0.512,1.27,0.527,Purdue,32,462,14.4,341,10.7,1.35
164,164,uconn,33,73.8,26.5,59.4,874,1959,0.446,622,1227,0.507,1.24,0.51,UConn,33,422,12.8,427,12.9,0.99
165,165,ut martin,31,76.0,27.5,61.8,854,1915,0.446,604,1189,0.508,1.23,0.511,UT Martin,31,441,14.2,418,13.5,1.06
166,166,new orleans,32,71.7,25.9,58.1,829,1859,0.446,647,1326,0.488,1.23,0.495,New Orleans,32,475,14.8,499,15.6,0.95
167,167,njit,33,70.0,24.0,53.9,792,1778,0.445,563,1114,0.505,1.3,0.51,NJIT,33,354,10.7,409,12.4,0.87
168,168,louisiana,32,81.6,28.2,63.2,901,2023,0.445,618,1203,0.514,1.29,0.515,Louisiana,32,488,15.3,423,13.2,1.15
169,169,oklahoma,32,71.2,25.9,58.3,830,1864,0.445,618,1245,0.496,1.22,0.502,Oklahoma,32,406,12.7,390,12.2,1.04
170,170,butler,32,71.8,26.1,58.7,835,1877,0.445,555,1078,0.515,1.22,0.519,Butler,32,418,13.1,350,10.9,1.19
171,171,george mason,33,70.1,25.0,56.2,825,1855,0.445,615,1218,0.505,1.25,0.501,George Mason,33,399,12.1,428,13.0,0.93
172,172,santa clara,31,68.2,23.7,53.3,735,1653,0.445,496,990,0.501,1.28,0.517,Santa Clara,31,416,13.4,433,14.0,0.96
173,173,georgetown,32,79.9,27.2,61.1,869,1955,0.445,605,1219,0.496,1.31,0.512,Georgetown,32,532,16.6,435,13.6,1.22
174,174,texas state,33,72.4,25.6,57.7,846,1905,0.444,608,1182,0.514,1.25,0.507,Texas State,33,481,14.6,440,13.3,1.09
175,175,southern utah,32,75.8,26.2,59.0,838,1887,0.444,578,1135,0.509,1.29,0.513,Southern Utah,32,404,12.6,438,13.7,0.92
176,176,high point,31,68.2,24.6,55.5,763,1719,0.444,583,1136,0.513,1.23,0.496,High Point,31,404,13.0,406,13.1,1.0
177,177,pepperdine,34,75.6,25.4,57.3,865,1949,0.444,552,1130,0.488,1.32,0.524,Pepperdine,34,479,14.1,432,12.7,1.11
178,178,uc riverside,33,65.2,24.0,54.2,792,1787,0.44299999999999995,513,1044,0.491,1.2,0.521,UC Riverside,33,425,12.9,424,12.8,1.0
179,179,unc wilmington,33,76.2,26.7,60.2,880,1986,0.44299999999999995,620,1242,0.499,1.27,0.509,UNC Wilmington,33,495,15.0,435,13.2,1.14
180,180,florida state,34,74.9,25.9,58.4,879,1984,0.44299999999999995,624,1224,0.51,1.28,0.507,Florida State,34,438,12.9,459,13.5,0.95
181,181,chattanooga,32,70.9,26.0,58.8,833,1881,0.44299999999999995,543,1086,0.5,1.21,0.52,Chattanooga,32,418,13.1,408,12.8,1.02
182,182,bowling green,34,78.5,27.8,62.8,945,2134,0.44299999999999995,673,1372,0.491,1.25,0.507,Bowling Green,34,427,12.6,411,12.1,1.04
183,183,brown,30,73.6,25.3,57.2,759,1715,0.44299999999999995,528,1030,0.513,1.29,0.51,Brown,30,385,12.8,427,14.2,0.9
