,TEAM,GP,PPG,FGM-game,FGA-game,FGM-total,FGA-total,FG%,2PM,2PA,2P%,PPS,FG%.adj
76,Oregon State,31,73.4,25.8,55.7,800,1728,.463,597,1095,.545,1.32,.522
77,Buffalo,34,84.9,30.4,65.7,1033,2234,.462,708,1265,.560,1.29,.535
78,Holy Cross,33,67.2,25.7,55.6,848,1834,.462,611,1164,.525,1.21,.527
79,CSU Northridge,33,76.3,28.4,61.4,936,2025,.462,709,1405,.505,1.24,.518
82,Northern Colorado,32,76.6,26.5,57.4,849,1837,.462,542,988,.549,1.33,.546
83,Kansas,34,75.4,27.3,59.1,928,2008,.462,682,1306,.522,1.28,.523
84,Jacksonville State,33,78.0,28.9,62.5,953,2063,.462,753,1429,.527,1.25,.510
85,LSU,32,81.4,28.5,61.7,912,1975,.462,693,1297,.534,1.32,.517
86,Radford,33,73.9,27.1,58.7,893,1938,.461,608,1187,.512,1.26,.534
87,South Alabama,34,72.9,25.5,55.4,867,1883,.460,582,1122,.519,1.32,.536
88,Drexel,32,75.8,27.3,59.4,874,1900,.460,637,1231,.517,1.28,.522
89,USC,33,76.3,28.4,61.8,937,2039,.460,656,1304,.503,1.23,.528
90,Sacred Heart,32,79.9,27.7,60.2,885,1926,.460,642,1245,.516,1.33,.523
91,UIC,32,74.7,27.0,58.8,865,1883,.459,562,1027,.547,1.27,.540
92,Ole Miss,32,75.4,26.5,57.6,847,1844,.459,586,1115,.526,1.31,.530
93,San Diego,35,72.3,25.5,55.5,892,1942,.459,618,1158,.534,1.30,.530
94,UC Irvine,35,72.9,27.0,58.8,945,2058,.459,707,1398,.506,1.24,.517
95,Indiana,32,71.5,26.2,57.0,838,1825,.459,645,1210,.533,1.25,.512
96,North Carolina A&T,32,70.0,25.8,56.2,825,1797,.459,598,1148,.521,1.25,.522
97,New Mexico State,34,78.1,27.6,60.0,937,2041,.459,618,1089,.567,1.30,.537
98,Delaware,33,71.3,25.2,54.8,830,1808,.459,548,1062,.516,1.30,.537
99,Loyola (MD),32,72.9,26.3,57.4,842,1836,.459,632,1220,.518,1.27,.516
100,Marquette,33,77.7,26.3,57.4,869,1895,.459,558,1104,.505,1.35,.541
101,Vermont,33,73.9,25.5,55.6,841,1834,.459,584,1105,.529,1.33,.529
104,TCU,33,74.1,26.8,58.7,886,1936,.458,632,1214,.521,1.26,.523
105,NC State,33,79.6,29.2,63.8,964,2107,.458,695,1346,.516,1.25,.521
106,Harvard,28,71.0,25.2,55.0,705,1541,.457,465,894,.520,1.29,.535
107,Loyola Marymount,31,67.5,24.0,52.5,744,1627,.457,598,1167,.512,1.29,.502
108,UCLA,33,78.2,27.8,61.0,919,2012,.457,663,1291,.514,1.28,.520
109,CSU Fullerton,33,72.1,25.8,56.4,850,1861,.457,668,1291,.517,1.28,.506
110,Colorado,33,73.9,25.8,56.5,852,1866,.457,640,1212,.528,1.31,.513
111,UNC Greensboro,34,76.0,27.6,60.6,940,2059,.457,677,1296,.522,1.26,.520
112,Lamar,33,78.7,27.3,59.9,902,1976,.456,674,1312,.514,1.31,.514
113,Houston Baptist,30,82.2,28.8,63.2,865,1896,.456,665,1308,.508,1.30,.509
