,team,games_played,assist,assist_per_game,turnover,turnover_per_game,assist/to
277,Arizona,32,398,12.4,370,11.6,1.08
278,St. Bonaventure,33,408,12.4,408,12.4,1.00
279,Boston College,31,382,12.3,377,12.2,1.01
280,East Carolina,31,382,12.3,414,13.4,0.92
281,SIU-Edwardsville,31,382,12.3,437,14.1,0.87
282,Clemson,32,394,12.3,427,13.3,0.92
283,Evansville,32,394,12.3,415,13.0,0.95
284,Northern Arizona,31,381,12.3,372,12.0,1.02
285,Western Kentucky,34,417,12.3,466,13.7,0.89
287,Florida,34,416,12.2,400,11.8,1.04
288,James Madison,33,403,12.2,420,12.7,0.96
289,Georgia Southern,33,403,12.2,452,13.7,0.89
290,Harvard,28,341,12.2,449,16.0,0.76
291,Marist,31,377,12.2,387,12.5,0.97
292,Penn State,32,389,12.2,399,12.5,0.97
293,Western Carolina,32,389,12.2,576,18.0,0.68
294,Rhode Island,33,401,12.2,405,12.3,0.99
295,Alabama,33,401,12.2,449,13.6,0.89
296,UC Davis,31,375,12.1,412,13.3,0.91
298,Akron,33,399,12.1,387,11.7,1.03
299,George Mason,33,399,12.1,428,13.0,0.93
300,Bradley,34,411,12.1,430,12.6,0.96
301,Boise State,33,398,12.1,378,11.5,1.05
302,Grambling,33,398,12.1,520,15.8,0.77
303,Alabama A&M,32,385,12.0,492,15.4,0.78
304,CSU Fullerton,33,397,12.0,437,13.2,0.91
305,Saint Joseph's,33,397,12.0,305,9.2,1.30
306,Syracuse,33,396,12.0,411,12.5,0.96
307,Morgan State,30,358,11.9,402,13.4,0.89
309,Vermont,33,390,11.8,361,10.9,1.08
310,Denver,30,354,11.8,408,13.6,0.87
311,Texas A&M,32,376,11.8,444,13.9,0.85
312,Chicago State,32,376,11.8,512,16.0,0.73
313,Long Beach State,34,399,11.7,479,14.1,0.83
314,Pittsburgh,33,387,11.7,448,13.6,0.86
315,Charleston,33,387,11.7,347,10.5,1.12
316,Wagner,30,351,11.7,414,13.8,0.85
317,Western Michigan,32,374,11.7,490,15.3,0.76
318,Washington,34,397,11.7,453,13.3,0.88
320,Seattle,32,372,11.6,390,12.2,0.95
321,Southern,32,372,11.6,510,15.9,0.73
322,UAB,34,395,11.6,388,11.4,1.02
323,North Dakota State,33,383,11.6,349,10.6,1.10
324,Weber State,33,383,11.6,386,11.7,0.99
325,Stephen F. Austin,30,348,11.6,440,14.7,0.79
326,Vanderbilt,32,371,11.6,454,14.2,0.82
327,CSU Bakersfield,31,359,11.6,410,13.2,0.88
328,Eastern Michigan,32,369,11.5,442,13.8,0.83
329,Portland,32,369,11.5,425,13.3,0.87
331,St. Francis (BKN),32,369,11.5,401,12.5,0.92
332,Milwaukee,31,356,11.5,381,12.3,0.93
333,Florida A&M,31,355,11.5,498,16.1,0.71
334,Mt. St. Mary's,31,354,11.4,410,13.2,0.86
335,Incarnate Word,31,354,11.4,502,16.2,0.71
336,Arkansas-Pine Bluff,32,365,11.4,478,14.9,0.76
337,Tennessee State,30,342,11.4,497,16.6,0.69
338,Central Connecticut,31,353,11.4,427,13.8,0.83
339,Longwood,32,364,11.4,459,14.3,0.79
340,George Washington,33,375,11.4,412,12.5,0.91
342,South Carolina State,34,386,11.4,494,14.5,0.78
343,Arkansas State,32,363,11.3,448,14.0,0.81
344,Kennesaw State,32,362,11.3,437,13.7,0.83
345,California Baptist,30,339,11.3,364,12.1,0.93
346,Maryland-Eastern Shore,32,361,11.3,431,13.5,0.84
347,Mississippi Valley State,32,361,11.3,415,13.0,0.87
348,Fordham,32,360,11.3,345,10.8,1.04
349,Manhattan,32,360,11.3,485,15.2,0.74
350,Jackson State,32,359,11.2,437,13.7,0.82
351,New Hampshire,29,325,11.2,356,12.3,0.91
353,Stony Brook,32,358,11.2,458,14.3,0.78
354,Missouri,32,354,11.1,448,14.0,0.79
355,Missouri State,32,354,11.1,385,12.0,0.92
356,Indiana State,31,342,11.0,401,12.9,0.85
357,Northern Illinois,34,374,11.0,403,11.9,0.93
358,UMKC,32,352,11.0,391,12.2,0.90
359,Middle Tennessee,32,352,11.0,512,16.0,0.69
360,Northwestern State,31,340,11.0,497,16.0,0.68
361,Miami (OH),32,349,10.9,413,12.9,0.85
362,California,31,338,10.9,350,11.3,0.97
364,Northern Iowa,34,370,10.9,393,11.6,0.94
365,Monmouth,35,379,10.8,501,14.3,0.76
366,Delaware State,31,333,10.7,434,14.0,0.77
367,NJIT,33,354,10.7,409,12.4,0.87
368,Niagara,32,343,10.7,390,12.2,0.88
369,UNC Asheville,31,331,10.7,455,14.7,0.73
370,Wake Forest,31,330,10.6,417,13.5,0.79
371,Bryant,30,319,10.6,382,12.7,0.84
372,UTEP,29,307,10.6,466,16.1,0.66
373,Princeton,28,295,10.5,354,12.6,0.83
375,North Alabama,32,334,10.4,437,13.7,0.76
376,Cal Poly,29,301,10.4,334,11.5,0.90
377,Wyoming,32,331,10.3,450,14.1,0.74
378,Detroit Mercy,31,319,10.3,355,11.5,0.90
379,Western Illinois,31,319,10.3,352,11.4,0.91
380,Pacific,32,325,10.2,426,13.3,0.76
381,Alabama State,31,313,10.1,450,14.5,0.70
382,Saint Mary's,33,332,10.1,349,10.6,0.95
383,Towson,32,319,10.0,390,12.2,0.82
384,Charlotte,29,288,9.9,420,14.5,0.69
386,Coppin State,33,326,9.9,553,16.8,0.59
387,Binghamton,33,324,9.8,409,12.4,0.79
388,Saint Peter's,32,301,9.4,488,15.3,0.62
